Product Name,Current Price,Typical Price,Rating,Total Reviews,Delivery Charges,Fabric Type,Care Instructions,Origin,Customer Reviews
4 Pack Gym Mens Shorts - Basketball Athletic Shorts with Pockets Fitness Clothing Black Workout Quick Dry Shorts,"PKR 4,172.68 with 58 percent savings","PKR10,025.01",4.6 out of 5 stars,(393),"PKR 20,849.47 Shipping & Import Charges to Pakistan",100% Polyester,"Machine Wash, please wash dark and light colors separately.",Imported,"{'Perfect Off-Brand Shorts!': '5 out of 5 stars', 'Great Athletic Shorts for the price': '5 out of 5 stars', 'Nice for the price.': '5 out of 5 stars', 'Affordable and comfortable light shorts': '4 out of 5 stars', 'Good buy': '5 out of 5 stars', 'true to size!': '5 out of 5 stars', 'Go by waist size': '5 out of 5 stars', 'Great shorts. Very comfortable.': '5 out of 5 stars'}"
adidas Mens Train Essentials Feelready 3-Stripes T-Shirt,"PKR 3,991.62 with 59 percent savings","PKR9,749.25",4.5 out of 5 stars,(100),"PKR 22,044.45 Shipping & Import Charges to Pakistan","70% Recycled Polyester, 30% Cotton",Machine Wash,Imported,"{'Beautiful color': '5 out of 5 stars', 'EXCELENTE PRODUCTO, EXCELENTE COMPRA': '5 out of 5 stars', 'Good': '4 out of 5 stars', '𝑁𝑖𝑐𝑒': '5 out of 5 stars', 'Love the fabric and price': '5 out of 5 stars', 'Good quality': '5 out of 5 stars', 'Runs Small': '3 out of 5 stars', 'Súper bien muy linda para el gym': '5 out of 5 stars'}"
Trendy Queen 2 Piece Matching Summer Lounge Set Womens Side Ruching Top Wide Leg Pants Sets with Pockets,"PKR 7,518.06 with 23 percent savings","PKR9,746.46",4.3 out of 5 stars,"(1,552)","PKR 29,977.55 Shipping & Import Charges to Pakistan",92%Rayon8%Spandex,Machine Wash,Imported,"{'Best Christmas gift': '5 out of 5 stars', 'Not as described!': '3 out of 5 stars', 'Material gave me the ""ick""': '4 out of 5 stars', 'Buyer beware': '2 out of 5 stars', 'Crap': '1 out of 5 stars'}"
"SINOPHANT High Waisted Leggings with Pockets Women, Full Length Capri Buttery Soft Stretchy Yoga Pants","PKR 1,779.93 with 36 percent savings","PKR2,782.71",4.4 out of 5 stars,"(12,093)","PKR 17,417.73 Shipping & Import Charges to Pakistan","92% Polyester, 8% Spandex",Machine Wash,Imported,"{'Buttery soft, stretchy, and Oh so comfy!': '5 out of 5 stars', 'You get whay you pay for...': '2 out of 5 stars', 'So comfy!': '5 out of 5 stars', 'All great': '5 out of 5 stars', 'Not for me': '2 out of 5 stars'}"
oshkang Thongs for Womens High Waisted Seamless for Women Underwear Sexy Breathable Panties 6 Pack,"PKR 3,896.91 with 35 percent savings","PKR5,963.76",4.2 out of 5 stars,"(3,939)","PKR 18,395.44 Shipping & Import Charges to Pakistan",85% Polyamide+15% Elastane,Hand Wash Only,Imported,"{'Excelent': '5 out of 5 stars', 'Best of best': '5 out of 5 stars', 'Best underwear': '5 out of 5 stars', 'My New Go To': '4 out of 5 stars', '5 out of 5 ⭐️⭐️⭐️⭐️⭐️': '5 out of 5 stars', 'Comfortable and Invisible Under Clothes': '5 out of 5 stars', 'Great fabric, but they don’t stay high waisted': '3 out of 5 stars', 'Comfortable Seamless Thongs with a Smooth High-Waisted Fit': '4 out of 5 stars'}"
Under Armour Men's Armour Heatgear Compression Shorts,"PKR 6,960.96 with 17 percent savings","PKR8,356.50",4.6 out of 5 stars,"(13,407)","PKR 20,270.08 Shipping & Import Charges to Pakistan","84% Polyester, 16% Elastane",Machine Wash,Imported,"{'Perfect': '5 out of 5 stars', 'Perfect Fit and Super Comfortable!': '5 out of 5 stars', 'Comfortable, breathable compression shorts with a phone pocket': '5 out of 5 stars', 'Awesome product 100%recommend': '5 out of 5 stars', 'Rewelacja': '5 out of 5 stars'}"
BOOJO 5 Pack Workout Shirts for Men-Quick Dry Black Gym Moisture Wicking Short Sleeve T-Shirts for Running Athletic Casual,"PKR 5,289.66 with 14 percent savings","PKR6,125.31",4.6 out of 5 stars,"(1,919)","PKR 24,247.78 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Excelente relación precio calidad': '5 out of 5 stars', 'Me falta una playera': '3 out of 5 stars'}"
"BAMBOO COOL Men's Ultra ComfortSoft Underwear, Moisture Wicking & Breathable No Ride Up Boxer Briefs with Fly, Multipack","PKR 15,370.39 with 8 percent savings","PKR16,710.21",4.6 out of 5 stars,"(6,589)","PKR 25,350.84 Shipping & Import Charges to Pakistan","92% viscose made from bamboo, 8% spandex",Hand Wash Only,Imported,"{'Great underwear and now my go to': '5 out of 5 stars', 'Very comfertable and cool underwear': '5 out of 5 stars', 'Dissapointed Product.': '2 out of 5 stars', 'Very comfy': '5 out of 5 stars', 'These are Great!!!': '5 out of 5 stars'}"
Under Armour Women's Tech Short Sleeve Crew,"PKR 3,501.37 with 50 percent savings","PKR6,963.75",4.6 out of 5 stars,(304),"PKR 19,506.86 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Cómoda y fresca': '4 out of 5 stars', 'Good quality': '5 out of 5 stars', 'Le produit est bien': '3 out of 5 stars', 'süper': '5 out of 5 stars', 'Uncomfortable': '1 out of 5 stars'}"
MAGCOMSEN Mens Workout Shirts Short Sleeve Athletic Dry Fit Tshirt Moisture Wicking Gym Running Performance Tee Shirts,"PKR 4,175.46 with 21 percent savings","PKR5,286.88",4.8 out of 5 stars,(28),"PKR 18,465.08 Shipping & Import Charges to Pakistan","92% Polyester, 8% Spandex",Machine Wash,Imported,"{'High-Performance Moisture Wicking with Lightweight Dry-Fit Comfort!': '5 out of 5 stars', 'Very thin and stretchy': '4 out of 5 stars', 'Very soft and the fit is perfect!': '5 out of 5 stars', 'Moisture-Wicking Actually Works in Florida Humidity — Solid Gym Shirt': '5 out of 5 stars', 'Excedllent daily driver, comfortable and great fit': '5 out of 5 stars', 'decent quality t-shirt': '4 out of 5 stars', 'While this is a basic Dry-Fit T-shirt, the MAGCOMSEN brand got it right once again.': '5 out of 5 stars', 'Quality shirt': '5 out of 5 stars'}"
NORTHYARD Men's Athletic Running T-Shirts Quick Dry Workout Shirts Short-Sleeve Sports Gym Tee Tops Performance Activewear,"PKR 5,568.21",,4.5 out of 5 stars,(892),"PKR 19,414.94 Shipping & Import Charges to Pakistan","90%Polyester, 10% Elastane",Machine Wash,Imported,"{'Very good for casual wear': '5 out of 5 stars', 'Great quality - runs a little big': '5 out of 5 stars', 'My husband loves these shirts': '5 out of 5 stars', 'Competent athletic shirt (I own 5) - runs large & long - but does what I need': '4 out of 5 stars', 'Looks to be a good one.': '5 out of 5 stars', 'Great quality for the price': '5 out of 5 stars', 'Great shirt but collar is very loose': '3 out of 5 stars', 'Not new but Nice': '5 out of 5 stars'}"
"AARYA Athletic Shirts Women, Summer Long Sleeve Reversible Yoga Top with Drawstring Loose V-Neck Workout Shirt","PKR 9,189.36",,4.3 out of 5 stars,(27),"PKR 31,339.66 Shipping & Import Charges to Pakistan","74% Cotton, 26% Polyester",Machine Wash,Imported,"{'Love the shape and color, the fabric is great too.': '5 out of 5 stars', 'SO PRETTY': '5 out of 5 stars', 'Nice lightweight top, runs large': '4 out of 5 stars', 'Breathable, flattering, reversible active top with adjustable fit': '5 out of 5 stars', 'Not for me': '2 out of 5 stars', 'awesome color': '5 out of 5 stars', 'Baggy wide fit': '3 out of 5 stars', 'Nice, high quality top for all ages and design styles.': '5 out of 5 stars'}"
