Product Name,Current Price,Typical Price,Rating,Total Reviews,Delivery Charges,Fabric Type,Care Instructions,Origin,Customer Reviews
Nike Club Men's Training Joggers,"PKR 12,593.25 with 8 percent savings","PKR13,646.16",4.7 out of 5 stars,"(9,048)","No Import Charges & PKR 15,102.98 Shipping to Pakistan","80% Cotton, 20% Polyester",Machine Wash,Imported,"{'きちんと生地を使ってある': '5 out of 5 stars', 'Buena calidad': '5 out of 5 stars', '5 Stars – Comfortable & Stylish Everyday Joggers!': '5 out of 5 stars', 'Ajustement Parfait': '5 out of 5 stars', 'Calidad excelente': '5 out of 5 stars'}"
Reebok Women's Classic Athletic Graphic Crewneck Cropped T-Shirt,"PKR 2,509.74",,4.8 out of 5 stars,(56),"PKR 18,442.80 Shipping & Import Charges to Pakistan","62% Polyester, 33% Rayon, 5% Spandex",Machine Wash,Imported,"{'Great tee!': '5 out of 5 stars', 'Cómoda y fresca': '5 out of 5 stars', 'Loved it': '5 out of 5 stars', 'No hay engaño en la compra': '4 out of 5 stars', 'Muy bonita': '5 out of 5 stars', 'Buen elemento': '5 out of 5 stars', 'Me gusto': '5 out of 5 stars', 'Soft and airy cropped tee': '5 out of 5 stars'}"
Women's Seamless Racerback Sports Bra High Impact Support Yoga Gym Workout Fitness,"PKR 10,025.01",,4.4 out of 5 stars,"(9,581)","PKR 24,476.19 Shipping & Import Charges to Pakistan","90% Nylon, 10% Spandex",Machine Wash,Imported,"{'Very good quality': '5 out of 5 stars', 'perfect': '5 out of 5 stars', 'Not supportive': '1 out of 5 stars', 'Wow': '4 out of 5 stars', 'It’s okay.': '3 out of 5 stars'}"
Under Armour Men's Velocity 2.0 Short Sleeve T-Shirt,"PKR 5,284.09 with 24 percent savings","PKR6,963.75",4.7 out of 5 stars,"(1,682)","PKR 19,367.58 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Parfait': '5 out of 5 stars', 'Awesome shirt.': '5 out of 5 stars', 'La qualité et la resistance au rendez vous': '5 out of 5 stars', 'Very good brand': '5 out of 5 stars', 'Confortable': '5 out of 5 stars'}"
Real Essentials 5 Pack: Women's Dry-Fit Short Sleeve V Neck T Shirt Workout Fitness Yoga Top Tee (Available in Plus Size),"PKR 9,746.46",,4.4 out of 5 stars,"(33,469)","PKR 24,381.48 Shipping & Import Charges to Pakistan","90% Polyester, 10% Spandex",Machine Wash,"Designed in USA, Imported","{'Fantastiche': '5 out of 5 stars', 'J’adoreeeee…': '5 out of 5 stars', 'replaces an earlier similar purchase - ideal for hot humid weather': '5 out of 5 stars', 'Yes, will recommend': '5 out of 5 stars', 'Very satisfied': '5 out of 5 stars'}"
BOOMCOOL Gym Clothes workout shorts and long sleeve shirts for men running dry fit athletic outfits sets 6 pack,"PKR 10,303.56",,4.4 out of 5 stars,"(1,334)","PKR 26,777.01 Shipping & Import Charges to Pakistan",Knit,Machine Wash,Imported,"{'COME DA FOTO': '5 out of 5 stars', 'Comfortable': '5 out of 5 stars', 'ممتازة': '4 out of 5 stars', 'Gym outfit': '5 out of 5 stars', 'Not good stuff': '1 out of 5 stars'}"
adidas Mens Aeroready Designed 2 Move Feelready Sport Tee,"PKR 5,278.52 with 24 percent savings","PKR6,963.75",4.6 out of 5 stars,"(3,390)","PKR 20,038.89 Shipping & Import Charges to Pakistan","65% Polyester, 35% Cotton",Machine Wash,Imported,"{'Viel zu Groß': '1 out of 5 stars', 'calidad precio': '5 out of 5 stars', 'As expected': '5 out of 5 stars', 'Qualidade': '5 out of 5 stars', 'Adidas': '5 out of 5 stars'}"
"CHRLEISURE Workout Shorts Sets for Women, High Waisted Butt Lifting Scrunch Butt Sports Seamless Gym Shorts","PKR 8,353.71",,4.5 out of 5 stars,(946),"PKR 22,178.15 Shipping & Import Charges to Pakistan","64%Nylon, 28%Polyester, 8%Spandex",Imported,High Rise,"{'I got a size small': '5 out of 5 stars', 'Buena calidad, buen ajuste.': '5 out of 5 stars', 'Short': '5 out of 5 stars', 'Excelente': '5 out of 5 stars', '😀': '4 out of 5 stars'}"
Trendy Queen Womens Spring Tops Oversized Long Sleeve T Shirts 2026 Basic Tee Fall Casual Workout Y2K Clothes,"PKR 4,175.46",,4.3 out of 5 stars,"(5,173)","PKR 18,933.04 Shipping & Import Charges to Pakistan","60% Polyester, 35% Rayon, 5% Spandex",Machine Wash,Imported,"{'Tamaño': '4 out of 5 stars', 'I would size up': '3 out of 5 stars', 'Unimpressed': '2 out of 5 stars', 'Poor quality': '1 out of 5 stars', 'Thin! Poor quality': '1 out of 5 stars'}"
Reebok Energy Men's Long Sleeve Performance 1/4 Zip Top,"PKR 6,181.02 with 32 percent savings","PKR9,052.88",4.0 out of 5 stars,(34),"PKR 20,024.96 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Great!!': '5 out of 5 stars', 'Valoración': '4 out of 5 stars', 'Odd sizing': '1 out of 5 stars', 'Great light weight 1/4 zip': '5 out of 5 stars', 'Flattering': '5 out of 5 stars', 'Great for Workouts and Casual Wear': '4 out of 5 stars', 'Love the quarter zip top!': '5 out of 5 stars', 'Good for layering': '4 out of 5 stars'}"
Under Armour Freedom Flag Short Sleeve T-Shirt,"PKR 4,726.99 with 32 percent savings","PKR6,963.75",4.7 out of 5 stars,(693),"PKR 19,699.06 Shipping & Import Charges to Pakistan","60% Cotton, 40% Polyester",Machine Wash,Imported,"{'Un marchio una garanzia': '5 out of 5 stars', 'As should be': '5 out of 5 stars', 'Great quality': '5 out of 5 stars', 'Great T shirt': '4 out of 5 stars'}"
4 Pack Womens Workout Tops Short Sleeve Shirts Sun Protection UPF 50+ Quick Dry Running Outfits for Gym Hiking Loose Fit,"PKR 5,565.43 with 33 percent savings","PKR8,353.71",4.4 out of 5 stars,(57),"PKR 22,303.50 Shipping & Import Charges to Pakistan","95% Polyester, 5% Spandex",Machine Wash,Imported,"{'Soft and a great fit': '5 out of 5 stars', 'Fit': '5 out of 5 stars', 'Great value': '4 out of 5 stars', 'Nice': '5 out of 5 stars', 'Recommended 100#': '5 out of 5 stars', 'Light weight, comfortable workout top': '5 out of 5 stars', 'Roomy': '5 out of 5 stars', 'Long tops': '4 out of 5 stars'}"
Runhit Men’s Compression Pants Running Tights Workout Leggings Athletic Base Layer Pants for Sports Yoga Basketball,"PKR 2,225.61 with 20 percent savings","PKR2,782.71",4.6 out of 5 stars,"(2,050)","PKR 17,467.87 Shipping & Import Charges to Pakistan","88% Polyester, 12% Spandex",Machine Wash,Imported,"{'Past delivery': '5 out of 5 stars', 'Comfy and warm': '5 out of 5 stars', 'Breathable and discrete': '5 out of 5 stars', 'Decent compression pants': '4 out of 5 stars', 'Compression pant leggings': '5 out of 5 stars'}"
"Reebok Men's Triathlon Scoop Neck Tank Top, Standard Fit, Lightweight Cotton-Poly Jersey Fabric","PKR 4,933.12 with 25 percent savings","PKR6,615.56",4.9 out of 5 stars,(43),"PKR 18,339.73 Shipping & Import Charges to Pakistan","60% Cotton, 40% Polyester",Machine Wash,Imported,"{'Je recommande': '5 out of 5 stars', 'Calidad': '5 out of 5 stars'}"
NIASHOT Womens Workout Tops Short Sleeve Yoga Pilates Outfits Athletic Gym Running UV Protection Shirts with Mesh,"PKR 2,225.61 with 60 percent savings","PKR5,568.21",4.4 out of 5 stars,(92),"PKR 22,738.04 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Just try it': '5 out of 5 stars', 'Nice fit!': '5 out of 5 stars', 'Work out shirt': '3 out of 5 stars', 'Great fit!': '5 out of 5 stars', 'Almost Perfect': '4 out of 5 stars', 'True to size and light weight for summer': '5 out of 5 stars', 'Cute shirt': '5 out of 5 stars', ""The white isn't white at all"": '2 out of 5 stars'}"
RPOVIG Men's 5 Pack Workout Gym T-Shirts Running Athletic T Shirts Hipster Short Shirt Men Clothes Wicking Shirts,"PKR 9,189.36 with 15 percent savings","PKR10,860.66",4.3 out of 5 stars,(38),"PKR 26,208.77 Shipping & Import Charges to Pakistan","90% Polyester, 10% Spandex","Machine Wash, Tumble Dry",Imported,"{'Great set': '5 out of 5 stars', 'Great shirts': '5 out of 5 stars', 'Good quality and comfort but need to check the sizes. The recommendations are usually too small.': '4 out of 5 stars', 'Mixed feelings': '3 out of 5 stars', 'Surprisingly nice lightweight shirts': '5 out of 5 stars', 'Really nice shirts': '5 out of 5 stars', 'Great Value Performance Shirts That Dry Fast and Fit Well': '5 out of 5 stars', 'Great shirts.': '5 out of 5 stars'}"
adidas Men's Essentials 3-Stripes Tee,"PKR 6,590.49 with 21 percent savings","PKR8,356.50",4.6 out of 5 stars,"(2,091)","PKR 21,428.85 Shipping & Import Charges to Pakistan",100% Cotton,Machine Wash,Imported,"{'Buen precio': '4 out of 5 stars', 'Perfect': '5 out of 5 stars', 'Excelente producto': '5 out of 5 stars', 'Ok': '5 out of 5 stars', 'Ótimo produto.': '5 out of 5 stars'}"
COCOMARTS Jelly Bras for Women No Underwire Scalloped Push Up Wireless Bralettes Seamless Soft Comfort Everyday Tshirt Bra,"PKR 4,376.02 with 21 percent savings","PKR5,565.43",4.4 out of 5 stars,"(2,328)","PKR 18,771.48 Shipping & Import Charges to Pakistan","55%Nylon,45%Spandex",Machine Wash,Imported,"{""Greatest bra of this type that I've purchased!"": '5 out of 5 stars', 'Great fit for DDD cup - super comfy': '5 out of 5 stars', 'Will buy more of these, so comfortable!': '5 out of 5 stars', 'Decent comfort': '4 out of 5 stars', 'Extremely good quality.': '5 out of 5 stars', 'Every woman needs this bra': '5 out of 5 stars', 'Must be jelly because jam don’t support like this!': '5 out of 5 stars', 'Comfortable, but not enough support': '4 out of 5 stars'}"
BAMBOO COOL Breathable Men's Underwear Modern Multipack Comfortsoft Moisture-Wicking Boxer Briefs 6 Pack,"PKR 14,760.36",,4.7 out of 5 stars,"(2,836)","PKR 26,579.24 Shipping & Import Charges to Pakistan","47% Viscose Derived from bamboo,47% Polyester,and 6% Spandex",Machine Wash,Imported,"{'Buena calidad precio': '5 out of 5 stars', 'Buen compra': '5 out of 5 stars'}"
BAMBOO COOL Men's Long Boxer Briefs Performance Long Leg Sports Boxer Brief Underwear MultiPack,"PKR 15,590.44 with 5 percent savings","PKR16,426.09",4.6 out of 5 stars,"(1,440)","PKR 25,189.28 Shipping & Import Charges to Pakistan","92% Viscose Made From Bamboo, 8% Spandex",Machine Wash,Imported,"{'Amazing': '5 out of 5 stars', 'Very Nice and Very Reasonably Priced!': '5 out of 5 stars', 'Try them.': '5 out of 5 stars', 'Just buy and thank your self later.': '5 out of 5 stars', 'Comfortable, but ride up a bit': '4 out of 5 stars', 'Maybe best underwear for my needs ... yours too': '5 out of 5 stars', 'Will ONLY be buying these from now on': '5 out of 5 stars', 'Great quality': '5 out of 5 stars'}"
"AARYA Athletic Shirts Women, Summer Long Sleeve Reversible Yoga Top with Drawstring Loose V-Neck Workout Shirt","PKR 9,189.36",,4.3 out of 5 stars,(27),"PKR 31,339.66 Shipping & Import Charges to Pakistan","74% Cotton, 26% Polyester",Machine Wash,Imported,"{'Love the shape and color, the fabric is great too.': '5 out of 5 stars', 'SO PRETTY': '5 out of 5 stars', 'Nice lightweight top, runs large': '4 out of 5 stars', 'Breathable, flattering, reversible active top with adjustable fit': '5 out of 5 stars', 'Not for me': '2 out of 5 stars', 'awesome color': '5 out of 5 stars', 'Baggy wide fit': '3 out of 5 stars', 'Nice, high quality top for all ages and design styles.': '5 out of 5 stars'}"
"LZYVOO Leggings with Pockets for Women, 6 Packs Soft High Waisted Tummy Control Workout Yoga Pants","PKR 9,467.91 with 15 percent savings","PKR11,139.21",4.4 out of 5 stars,"(5,743)","PKR 24,841.09 Shipping & Import Charges to Pakistan","78% Polyester, 22% Spandex",Machine Wash,Imported,"{'Very soft & comfortable. Almost velvet like fabric.': '5 out of 5 stars', 'Good buy': '5 out of 5 stars', 'Calidad de primera': '5 out of 5 stars', 'Excelente calidad': '5 out of 5 stars', 'Super comfy.': '5 out of 5 stars'}"
"Reebok Men's Triathlon Scoop Neck Tank Top, Standard Fit, Lightweight Cotton-Poly Jersey Fabric","PKR 4,933.12 with 25 percent savings","PKR6,615.56",4.9 out of 5 stars,(43),"PKR 18,339.73 Shipping & Import Charges to Pakistan","60% Cotton, 40% Polyester",Machine Wash,Imported,"{'Je recommande': '5 out of 5 stars', 'Calidad': '5 out of 5 stars'}"
NIASHOT Womens Workout Tops Short Sleeve Yoga Pilates Outfits Athletic Gym Running UV Protection Shirts with Mesh,"PKR 2,225.61 with 60 percent savings","PKR5,568.21",4.4 out of 5 stars,(92),"PKR 22,738.04 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Just try it': '5 out of 5 stars', 'Nice fit!': '5 out of 5 stars', 'Work out shirt': '3 out of 5 stars', 'Great fit!': '5 out of 5 stars', 'Almost Perfect': '4 out of 5 stars', 'True to size and light weight for summer': '5 out of 5 stars', 'Cute shirt': '5 out of 5 stars', ""The white isn't white at all"": '2 out of 5 stars'}"
RPOVIG Men's 5 Pack Workout Gym T-Shirts Running Athletic T Shirts Hipster Short Shirt Men Clothes Wicking Shirts,"PKR 9,189.36 with 15 percent savings","PKR10,860.66",4.3 out of 5 stars,(38),"PKR 26,208.77 Shipping & Import Charges to Pakistan","90% Polyester, 10% Spandex","Machine Wash, Tumble Dry",Imported,"{'Great set': '5 out of 5 stars', 'Great shirts': '5 out of 5 stars', 'Good quality and comfort but need to check the sizes. The recommendations are usually too small.': '4 out of 5 stars', 'Mixed feelings': '3 out of 5 stars', 'Surprisingly nice lightweight shirts': '5 out of 5 stars', 'Really nice shirts': '5 out of 5 stars', 'Great Value Performance Shirts That Dry Fast and Fit Well': '5 out of 5 stars', 'Great shirts.': '5 out of 5 stars'}"
XPONNI Women's Baggy Y2K Parachute Pants,"PKR 5,259.02",,4.2 out of 5 stars,"(1,995)","No Import Charges & PKR 14,114.13 Shipping to Pakistan",100% Polyester,Hand Wash Only,Imported,"{'Summer trackies': '5 out of 5 stars', 'Pants': '5 out of 5 stars', 'IMPRESSIVE!': '5 out of 5 stars', 'Son my cómodos': '5 out of 5 stars', 'more a costume than a sweatpant': '1 out of 5 stars'}"
adidas Men's Essentials 3-Stripes Tee,"PKR 6,590.49 with 21 percent savings","PKR8,356.50",4.6 out of 5 stars,"(2,091)","PKR 21,428.85 Shipping & Import Charges to Pakistan",100% Cotton,Machine Wash,Imported,"{'Buen precio': '4 out of 5 stars', 'Perfect': '5 out of 5 stars', 'Excelente producto': '5 out of 5 stars', 'Ok': '5 out of 5 stars', 'Ótimo produto.': '5 out of 5 stars'}"
NELEUS Men's 3 Pack Dry Fit Y-Back Muscle Tank Workout Gym Shirt,"PKR 7,089.10",,4.6 out of 5 stars,"(33,835)","PKR 21,295.15 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Shirt hält was es verspricht': '4 out of 5 stars', 'Fit perfectly': '5 out of 5 stars', 'Beyond expectations': '5 out of 5 stars', 'Muy buenas playeras para el gym': '5 out of 5 stars', 'Bonita pero nada más': '3 out of 5 stars'}"
ZITY Mens Polo Shirt Short Sleeve Sports Tactical T-Shirt Athletic Golf Polos Daily Casual Stylish Collared Shirts for Men,"PKR 4,175.46 with 42 percent savings","PKR7,239.51",4.4 out of 5 stars,"(15,100)","PKR 20,367.58 Shipping & Import Charges to Pakistan","95% Polyester, 5% Spandex",Machine Wash,Imported,"{'bueno': '4 out of 5 stars', 'Pésimo producto, mala calidad': '1 out of 5 stars'}"
ZITY 5 Pack Mens Polo Shirt Short Sleeve Sports Golf Tennis T-Shirt Moisture-Wicking Summer Shirts,"PKR 17,991.54 with 39 percent savings","PKR29,523.51",4.5 out of 5 stars,"(4,017)","PKR 32,888.40 Shipping & Import Charges to Pakistan","95% Polyester, 5% Spandex",Machine Wash,Imported,"{'Calidad que se nota y se siente...': '5 out of 5 stars', 'LAS TALLAS SON MAS PEQUEÑAS DE LO ANUNCIADO': '3 out of 5 stars', 'La tela es pésima Nada que ver con la idea de tela gruesa que uno ve en la foto': '1 out of 5 stars'}"
"Reebok Men's Sonic Bolt Short Sleeve Crewneck T-Shirt, Standard Fit, Lightweight Cool Touch Jersey Fabric","PKR 3,994.41",,4.7 out of 5 stars,(35),"PKR 20,281.23 Shipping & Import Charges to Pakistan","90% Polyester, 10% Spandex",Machine Wash,Imported,"{'good': '5 out of 5 stars', 'Excelente': '5 out of 5 stars', 'Cool and comfortable shirt': '5 out of 5 stars', 'Love the material and color, would like a more tapered fit': '4 out of 5 stars', 'Reebok Shirt': '5 out of 5 stars', 'Fits tight': '3 out of 5 stars', 'nice shirt': '5 out of 5 stars', 'Quality Shirt': '5 out of 5 stars'}"
NORTHYARD Men's Quarter Zip Pullover Athletic Running 1/4 Zip Long Sleeve Pullovers Quick Dry Lightweight Tennis Gym Shirts,"PKR 6,403.86",,4.5 out of 5 stars,"(2,533)","PKR 20,267.30 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Lightweight, High-Quality Quarter Zip': '5 out of 5 stars', 'Nice 1/4 zip': '5 out of 5 stars', 'Nice Quarter Zip For Running': '4 out of 5 stars', 'Good fit good look': '5 out of 5 stars', 'Very nice lightweight pullover': '5 out of 5 stars', 'Solid quality, nice fit.': '5 out of 5 stars', 'Nice Design, Nice Price': '5 out of 5 stars', 'Tight fit in the forearms.': '3 out of 5 stars'}"
"Reebok Men's Small Logo Crewneck T-Shirt, Standard Fit, Lightweight Cotton-Poly Jersey Fabric","PKR 3,885.77",,4.6 out of 5 stars,(274),"PKR 19,871.76 Shipping & Import Charges to Pakistan","60% Cotton, 40% Polyester",Machine Wash,Imported,{'قطن': '5 out of 5 stars'}
MAGCOMSEN Men's UPF 50+ Tank Top Gym Workout Sleeveless Muscle Shirts Sun Protection Cut Off Shirts Summer Sleeveless T Shirt,"PKR 2,782.71 with 44 percent savings","PKR5,008.33",4.3 out of 5 stars,(294),"PKR 17,662.86 Shipping & Import Charges to Pakistan",Cotton blend fabric,Machine Wash,Pull On,"{'MAGCOMEN TANK TOPS , SLEEVELESS !! U. S.  A R M Y  STYLE !!!! GREAT !!!!': '5 out of 5 stars', 'Tank tops.': '5 out of 5 stars', 'Great quality for the price. Fits well.': '5 out of 5 stars', 'Thicker fabric, nice tank tops': '4 out of 5 stars', 'Good quality': '3 out of 5 stars', 'Great buy': '5 out of 5 stars', 'Great fit': '5 out of 5 stars', 'Arm holes too small': '1 out of 5 stars'}"
Reebok Men's Warm Up Training 7” Short,"PKR 5,428.94",,4.4 out of 5 stars,(40),"PKR 20,261.73 Shipping & Import Charges to Pakistan","90% Polyester, 10% Spandex",Machine Wash,Imported,"{'Reebok has upped their game': '5 out of 5 stars', 'Excelente': '5 out of 5 stars', 'Recomendada': '4 out of 5 stars', 'Rebook': '5 out of 5 stars', 'La calidad': '5 out of 5 stars', ""Reebok Men's Warm Up Training 7” Short, Black/Ebony, X-Large"": '5 out of 5 stars', 'Comfortable but runs way too big.': '3 out of 5 stars', 'Comfortable, Sporty Shorts That Hold Up to Training': '5 out of 5 stars'}"
HLTPRO 3 Pack Plus Size Leggings with Pockets for Women - Black High Waisted Tummy Control Soft Yoga Pants for Gym Workout,"PKR 5,233.95 with 25 percent savings","PKR6,960.96",4.4 out of 5 stars,"(3,548)","PKR 21,256.15 Shipping & Import Charges to Pakistan","92% Polyester, 8% Spandex, Soft, Like Your Second Skin",【EASY CARE】Hand / machine washing allow; Save your time. Wash with like color.,Imported,"{'Muy grandes!': '1 out of 5 stars', 'Top Passform': '5 out of 5 stars', 'So Soft and exactly what i was looking for.': '5 out of 5 stars', 'Chemical smell': '3 out of 5 stars'}"
"Reebok Men's Small Logo Short Sleeve Crewneck T-Shirt, Standard Fit, Breathable Lightweight Stretch Knit Fabric","PKR 4,206.10",,4.7 out of 5 stars,(258),"PKR 19,793.76 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Great product': '5 out of 5 stars', 'Great t-shirt': '5 out of 5 stars', 'Excelente producto': '5 out of 5 stars', 'Nice t-shirt': '5 out of 5 stars', 'Buena': '5 out of 5 stars', 'Buen producto y rápida entrega': '4 out of 5 stars', 'Bueno bonito y barato': '5 out of 5 stars', 'Comodidad': '5 out of 5 stars'}"
Flare Leggings for Women Yoga Pants with Pockets High Waisted Crossover Flare Leggings Bootcut Casual Yoga Pants,"PKR 2,782.71 with 50 percent savings","PKR5,568.21",4.5 out of 5 stars,"(2,437)","PKR 18,189.32 Shipping & Import Charges to Pakistan","80% Polyester, 20% Spandex",Machine Wash,Imported,"{'Great': '5 out of 5 stars', 'Amazing pants!': '5 out of 5 stars', 'Great leggings': '5 out of 5 stars', 'Fit, comfortable, style.': '4 out of 5 stars', 'Comfortable and feminine.': '5 out of 5 stars', 'Cute, well made comfortable': '5 out of 5 stars', 'Runs small': '3 out of 5 stars', 'Nice with great price!': '5 out of 5 stars'}"
JMIERR Mens Muscle Slim T Shirts Texture V Neck Longline Henley Gym Workout Athletic Tee Shirt,"PKR 3,618.36 with 35 percent savings","PKR5,568.21",4.5 out of 5 stars,"(2,335)","PKR 18,543.07 Shipping & Import Charges to Pakistan","65%Polyester, 30%Viscose, 5%Elastane",Machine Wash,"We Use American Standard Size: XS=(US 36), S=(US 38), M=(US 40), L=(US 43), XL=(US 46), 2XL=(US 50), 3XL=(US 52), 4XL=(US 56), 5XL=(US 60).","{'Excellent !!!': '5 out of 5 stars', 'Excellent': '5 out of 5 stars', '6\'2½"" 220lb (extra large in photo)': '5 out of 5 stars', 'Good product.': '4 out of 5 stars', 'Super comfortable great fit': '5 out of 5 stars', 'GREAT VALUE. GREAT SHIRT': '5 out of 5 stars', 'Best fitting Tshirt I’ve ever bought!': '5 out of 5 stars', 'Read before you buy': '3 out of 5 stars'}"
NELEUS Dry Fit Workout Athletic Muscle Tank Top Running Shirts with Hoods,"PKR 9,189.36",,4.5 out of 5 stars,"(10,558)","PKR 23,395.41 Shipping & Import Charges to Pakistan",100% Polyester,Machine Wash,Imported,"{'Feels good': '5 out of 5 stars', 'It is great رائع': '5 out of 5 stars', 'Perfecto': '5 out of 5 stars', 'Poor quality': '3 out of 5 stars', 'Me encantaron, bastante cómodas': '5 out of 5 stars'}"
Under Armour Freedom Flag Short Sleeve T-Shirt,"PKR 6,963.75",,4.7 out of 5 stars,(693),"PKR 20,311.87 Shipping & Import Charges to Pakistan","60% Cotton, 40% Polyester",Machine Wash,Imported,"{'Un marchio una garanzia': '5 out of 5 stars', 'As should be': '5 out of 5 stars', 'Great quality': '5 out of 5 stars', 'Great T shirt': '4 out of 5 stars'}"
"Kamo Fitness Cozy 3-Pair Pack - Scrunch Long Crew Socks for Women, Soft & Breathable Boot and Slouch Socks, Size 5-9","PKR 4,451.23 with 33 percent savings","PKR6,679.63",4.6 out of 5 stars,"(1,340)","PKR 18,994.32 Shipping & Import Charges to Pakistan","76% Viscose, 20% Polyamide, 4% Spandex",Machine Wash,Imported,"{'Cozy, scrunchy, and great for gym sessions': '5 out of 5 stars', 'Soft and comfy. Not too thick': '5 out of 5 stars', 'Good socks!': '5 out of 5 stars', 'Very comfy & cute for adults and my cheerleader': '5 out of 5 stars', 'Good slouch sock': '4 out of 5 stars', 'Amazing!': '5 out of 5 stars', 'Buy them!!! So soft and comfy. Big girl friendly.': '5 out of 5 stars', 'Cutie socks': '5 out of 5 stars'}"
Men's Fashion Button Down Tshirt Dressy Short Sleeve Shirts Lapel Collar Tops Comfort Colors Shirt Mens Outfits,"PKR 3,618.36",,5.0 out of 5 stars,(1),Color:,100% Polyester,Machine Wash Or Hand Wash,Made in USA and Imported,{'Comfortable all day': '5 out of 5 stars'}
adidas Women's 3 Stripes Active Essentials Cotton Scoop Bralette with Removable Cookies,"PKR 8,467.92 with 20 percent savings","PKR10,584.90",4.0 out of 5 stars,(8),"PKR 20,192.09 Shipping & Import Charges to Pakistan","95% Cotton, 5% Spandex",Machine Wash,Imported,"{'Size is accurate': '5 out of 5 stars', 'I loved it': '5 out of 5 stars', 'Strap Issue': '1 out of 5 stars', 'Fashion bra': '3 out of 5 stars'}"
NORTHYARD Men's Athletic Running T-Shirts Quick Dry Workout Shirts Short-Sleeve Sports Gym Tee Tops Performance Activewear,"PKR 5,568.21",,4.5 out of 5 stars,(892),"PKR 19,314.66 Shipping & Import Charges to Pakistan","90%Polyester, 10% Elastane",Machine Wash,Imported,"{'Very good for casual wear': '5 out of 5 stars', 'Great quality - runs a little big': '5 out of 5 stars', 'My husband loves these shirts': '5 out of 5 stars', 'Competent athletic shirt (I own 5) - runs large & long - but does what I need': '4 out of 5 stars', 'Looks to be a good one.': '5 out of 5 stars', 'Great quality for the price': '5 out of 5 stars', 'Great shirt but collar is very loose': '3 out of 5 stars', 'Not new but Nice': '5 out of 5 stars'}"
COOFANDY Men's Muscle T-Shirt Pleated Raglan Sleeve Bodybuilding Gym Tee Short Sleeve Fashion Workout Shirts Hipster Shirt,"PKR 4,175.46 with 17 percent savings","PKR5,011.11",4.3 out of 5 stars,"(10,758)","PKR 18,905.19 Shipping & Import Charges to Pakistan","95% Polyester, 5% Spandex",Machine Wash,Imported,"{'me queda perfecto': '5 out of 5 stars', 'Cumple lo que promete': '5 out of 5 stars', 'Good material and right size': '5 out of 5 stars', 'Different Color = Different Quality': '5 out of 5 stars', 'القماش جداً خفيف إضافة إلى وجود خلل بالخياطه من جهه الرقبه غير متناسقه نهائياً وغير صالح للأرتداء': '1 out of 5 stars'}"
Riskrole 2 Pack Men's Athletic Shorts 7 Inch Inseam Lightweight Quick Dry Running Shorts for Men Gym Workout Shorts,"PKR 7,796.61 with 13 percent savings","PKR8,910.81",4.4 out of 5 stars,(177),"PKR 22,136.37 Shipping & Import Charges to Pakistan","90% Nylon, 10% Spandex",Machine Wash,Imported,"{'Comfortable, lightweight, and great fit': '5 out of 5 stars', 'Great Quality Shorts for Everyday Training': '5 out of 5 stars', 'Comfortable': '4 out of 5 stars', 'Great Value for Comfortable, Versatile causal wear shorts': '5 out of 5 stars', 'Nice athletic material': '5 out of 5 stars', 'Great quality and comfort!!': '5 out of 5 stars', 'So comfortable!': '5 out of 5 stars', 'Lightweight, comfortable, but cheap zippers and poor pocket entrance design.': '3 out of 5 stars'}"
NORTHYARD Men's Workout Athletic Shirts Gym Running T-Shirts Tennis Quick Dry Short Sleeve Shirt Active Lightweight Sports,"PKR 5,568.21",,4.5 out of 5 stars,"(1,435)","PKR 21,846.68 Shipping & Import Charges to Pakistan","88% Polyester, 12% Elastane",Machine Wash,Imported,"{'Great workout shirts': '5 out of 5 stars', 'Good value': '5 out of 5 stars', 'Lite and Airy': '5 out of 5 stars', 'Great buy': '4 out of 5 stars', 'Perfect fit and very comfortable!': '5 out of 5 stars', 'Quality Athletic shirty': '5 out of 5 stars', ""Very Nice Casual Dress Shirts. You'll Like 'em!"": '5 out of 5 stars', 'Nice cool shirts': '5 out of 5 stars'}"
"Reebok Men's Short Sleeve Crewneck Embroidered T-Shirt, Standard Fit, Lightweight Stretch Cotton Fabric","PKR 4,919.19 with 29 percent savings","PKR6,963.75",4.8 out of 5 stars,(160),"PKR 19,983.18 Shipping & Import Charges to Pakistan","95% Cotton, 5% Spandex",Machine Wash,Imported,"{'Es cómoda para días calurosos': '5 out of 5 stars', 'Recomendado': '5 out of 5 stars'}"
